,序號,詞語,等別,級別,情境,書面字頻(每百萬字),口語字頻(每百萬字),簡編本系統號,參考注音,參考漢語拼音,warning,definition
38,39,和,基礎,第1級,核心詞,5437,2135,"[['和', ['19016', '19190', '19725', '19883', '20369', '20436']]]",ㄏㄢˋ / ㄏㄜˊ,hàn/hé,True,
125,126,臺灣人/台灣人,基礎,第1級,1.個人資料,5,11,[],ㄊㄞˊ ㄨㄢ  ㄖㄣˊ  ,táiwānrén,False,
1420,1421,沒(有)用,進階,第4級,核心詞,0,0,[],ㄇㄟˊ (ㄧㄡˇ) ㄩㄥˋ,méi(yǒu)yòng,False,
1525,1526,一邊(兒),進階,第4級,核心詞,137,65,[],ㄧˋ ㄅㄧㄢ(ㄦ),yìbiān(r),False,
1624,1625,巷口,進階,第4級,2.日常起居,3,1,[],ㄒㄧㄤˋ ㄎㄡˇ,xiàngkǒu,False,
1826,1827,中文系,進階,第4級,8.教育、學習,3,3,[],ㄓㄨㄥ ㄨㄣˊ ㄒㄧˋ,zhōngwénxì,False,
2246,2247,拉鍊,進階,第4*級,9.購物、商店,2,0,"[['拉鍊', ['13167']]]",ㄌㄚ ㄌㄧㄢˋ,lāliàn,False,
2512,2513,吸菸,進階,第4*級,2.日常起居,6,2,"[['吸菸', ['26248']]]",ㄒㄧ ㄧㄢ,xīyān,False,
3709,3710,看診,進階,第5級,7.身體、醫療,6,10,"[['看診', ['45269']]]",ㄎㄢˋ ㄓㄣˇ,kànzhěn,False,
3781,3782,冷冰冰,進階,第5級,16.情緒、態度,4,3,"[['冷冰冰', ['13864']]]",ㄌㄥˇ ㄅㄧㄥ ㄅㄧㄥ,lěngbīngbīng,False,
4044,4045,評量,進階,第5級,8.教育、學習,20,4,"[['評量', ['3378']]]",ㄆㄧㄥˊ ㄌㄧㄤˊ,píngliáng,False,
4062,4063,奇蹟,進階,第5級,核心詞,31,24,"[['奇蹟', ['24507']]]",ㄑㄧˊ ㄐㄧ,qíjī,False,
4073,4074,企業界,進階,第5級,3.職業,13,6,[],ㄑㄧˋ ㄧㄝˋ ㄐㄧㄝˋ,qìyèjiè,False,
4236,4237,傻事,進階,第5級,核心詞,3,1,"[['傻事', ['33876']]]",ㄕㄚˇ ㄕˋ,shǎshì,False,
4252,4253,上鎖,進階,第5級,2.日常起居,4,1,[],ㄕㄤˋ ㄙㄨㄛˇ,shàngsuǒ,False,
4276,4277,身旁,進階,第5級,核心詞,33,5,[],ㄕㄣ ㄆㄤˊ,shēnpáng,False,
4339,4340,石子,進階,第5級,13.自然環境,7,1,[],ㄕˊ ˙ㄗ,shízi,False,
4417,4418,痠痛,進階,第5級,7.身體、醫療,8,5,"[['痠痛', ['39229']]]",ㄙㄨㄢ ㄊㄨㄥˋ,suāntòng,False,
4418,4419,算帳,進階,第5級,核心詞,3,1,"[['算帳', ['39248']]]",ㄙㄨㄢˋ ㄓㄤˋ,suànzhàng,False,
4648,4649,舞台劇,進階,第5級,4.休閒、娛樂,5,5,[],ㄨˇㄊㄞˊㄐㄩˋ,wǔtáijù,False,
4694,4695,閒逛,進階,第5級,4.休閒、娛樂,5,1,"[['閒逛', ['27367']]]",ㄒㄧㄢˊ ㄍㄨㄤˋ,xiánguàng,False,
4700,4701,限量,進階,第5級,9.購物、商店,2,3,"[['限量', ['27504', '27505']]]",ㄒㄧㄢˋ ㄌㄧㄤˋ,xiànliàng,False,
4722,4723,項鍊,進階,第5級,9.購物、商店,8,8,"[['項鍊', ['28083']]]",ㄒㄧㄤˋ ㄌㄧㄢˋ,xiàngliàn,False,
4756,4757,新進,進階,第5級,3.職業,8,4,"[['新進', ['27752']]]",ㄒㄧㄣ ㄐㄧㄣˋ,xīnjìn,False,
4986,4987,原來如此,進階,第5級,核心詞,7,6,"[['原來如此', ['44759']]]",ㄩㄢˊ ㄌㄞˊ ㄖㄨˊ ㄘˇ,yuánláirúcǐ,False,
5139,5140,之餘,進階,第5級,核心詞,23,9,[],ㄓ ㄩˊ,zhīyú,False,
5223,5224,轉帳,進階,第5級,11.公共服務,1,1,"[['轉帳', ['30984']]]",ㄓㄨㄢˇ ㄓㄤˋ,zhuǎnzhàng,False,
5549,5550,長久以來,精熟,第6級,,14,7,[],ㄔㄤˊ ㄐㄧㄡˇ ㄧˇ ㄌㄞˊ,chángjiǔyǐlái,False,
5561,5562,超乎,精熟,第6級,,11,4,[],ㄔㄠ ㄏㄨ,chāohū,False,
5656,5657,觸控,精熟,第6級,,2,14,[],ㄔㄨˋ ㄎㄨㄥˋ,chùkòng,False,
5763,5764,大夥兒,精熟,第6級,,12,3,"[['大夥兒', ['7150']]]",ㄉㄚˋ ㄏㄨㄛˇㄦ,dàhuǒr,False,
5768,5769,大開眼界,精熟,第6級,,3,3,"[['大開眼界', ['7121']]]",ㄉㄚˋ ㄎㄞ ㄧㄢˇ ㄐㄧㄝˋ,dàkāiyǎnjiè,False,
5776,5777,大勢,精熟,第6級,,7,1,"[['大勢', ['7308']]]",ㄉㄚˋ ㄕˋ,dàshì,False,
5906,5907,動線,精熟,第6級,,2,4,"[['動線', ['45260']]]",ㄉㄨㄥˋ ㄒㄧㄢˋ,dòngxiàn,False,
5951,5952,多采多姿,精熟,第6級,,4,2,"[['多采多姿', ['9415']]]",ㄉㄨㄛ ㄘㄞˇ ㄉㄨㄛ ㄗ,duōcǎiduōzī,False,
5956,5957,多加,精熟,第6級,,8,6,[],ㄉㄨㄛ ㄐㄧㄚ,duōjiā,False,
6012,6013,氾濫,精熟,第6級,,7,12,"[['氾濫', ['5651']]]",ㄈㄢˋ ㄌㄢˋ,fànlàn,False,
6211,6212,隔年,精熟,第6級,,9,13,[],ㄍㄜˊ ㄋㄧㄢˊ,génián,False,
6647,6648,艱困,精熟,第6級,,5,8,"[['艱困', ['22856']]]",ㄐㄧㄢ ㄎㄨㄣˋ,jiānkùn,False,
6719,6720,藉機,精熟,第6級,,5,3,"[['藉機', ['22282']]]",ㄐㄧㄝˋ ㄐㄧ,jièjī,False,
6723,6724,街角,精熟,第6級,,5,1,"[['街角', ['22039']]]",ㄐㄧㄝ ㄐㄧㄠˇ,jiējiǎo,False,
6738,6739,結實,精熟,第6級,,13,7,"[['結實', ['22044', '22090']]]",ㄐㄧㄝˊ ㄕˊ,jiéshí,True,
6784,6785,僅有,精熟,第6級,,16,7,"[['僅有', ['23233']]]",ㄐㄧㄣˇ ㄧㄡˇ,jǐnyǒu,False,
6799,6800,經理人,精熟,第6級,,33,1,[],ㄐㄧㄥ ㄌㄧˇ ㄖㄣˊ,jīnglǐrén,False,
6858,6859,居於,精熟,第6級,,7,1,[],ㄐㄩ ㄩˊ,jūyú,False,
6945,6946,空檔,精熟,第6級,,9,8,"[['空檔', ['18909', '18977']]]",ㄎㄨㄥˋ ㄉㄤˇ,kòngdǎng,True,
7354,7355,年齡層,精熟,第6級,,6,4,"[['年齡層', ['12784']]]",ㄋㄧㄢˊ ㄌㄧㄥˊ ㄘㄥˊ,niánlíngcéng,False,
7377,7378,暖身,精熟,第6級,,3,2,"[['暖身', ['12990']]]",ㄋㄨㄢˇ ㄕㄣ,nuǎnshēn,False,
7402,7403,徬徨,精熟,第6級,,7,4,"[['徬徨', ['2860']]]",ㄆㄤˊ ㄏㄨㄤˊ,pánghuáng,False,
7684,7685,取自,精熟,第6級,,5,2,[],ㄑㄩˇ ㄗˋ,qǔzì,False,
7817,7818,閃閃發光,精熟,第6級,,7,1,"[['閃閃發光', ['34496']]]",ㄕㄢˇ ㄕㄢˇ ㄈㄚ ㄍㄨㄤ,shǎnshǎnfāguāng,False,
7841,7842,上上下下,精熟,第6級,,4,2,"[['上上下下', ['34942']]]",ㄕㄤˋ ㄕㄤˋ ㄒㄧㄚˋ ㄒㄧㄚˋ,shàngshàngxiàxià,False,
7861,7862,涉入,精熟,第6級,,6,2,[],ㄕㄜˋ ㄖㄨˋ,shèrù,False,
7945,7946,事蹟,精熟,第6級,,15,5,"[['事蹟', ['33653']]]",ㄕˋ ㄐㄧ,shìjī,False,
7981,7982,視聽,精熟,第6級,,4,3,"[['視聽', ['33552']]]",ㄕˋ ㄊㄧㄥ,shìtīng,False,
8090,8091,說穿,精熟,第6級,,6,3,"[['說穿', ['35538']]]",ㄕㄨㄛ ㄔㄨㄢ,shuōchuān,False,
8097,8098,四海,精熟,第6級,,9,2,"[['四海', ['38655']]]",ㄙˋ ㄏㄞˇ,sìhǎi,False,
8142,8143,隨從,精熟,第6級,,13,0,"[['隨從', ['39193', '39194']]]",ㄙㄨㄟˊ ㄗㄨㄥˋ,suízòng,True,
8162,8163,台階,精熟,第6級,,13,3,[],ㄊㄞˊ ㄐㄧㄝ,táijiē,False,
8479,8480,席次,精熟,第6級,,2,4,"[['席次', ['26359']]]",ㄒㄧˊ ㄘˋ,xícì,False,
8513,8514,下文,精熟,第6級,,5,2,"[['下文', ['26667']]]",ㄒㄧㄚˋ ㄨㄣˊ,xiàwén,False,
8594,8595,笑咪咪,精熟,第6級,,3,2,"[['笑咪咪', ['27135']]]",ㄒㄧㄠˋ ㄇㄧ ㄇㄧ,xiàomīmī,False,
8628,8629,心安,精熟,第6級,,4,2,[],ㄒㄧㄣ ㄢ,xīnān,False,
8671,8672,興起,精熟,第6級,,23,13,"[['興起', ['28157', '28343']]]",ㄒㄧㄥˋ ㄑㄧˇ,xìngqǐ,True,
8895,8896,依序,精熟,第6級,,7,3,"[['依序', ['40278']]]",ㄧ ㄒㄩˋ,yīxù,False,
8904,8905,譯註,精熟,第6級,,23,0,[],ㄧˋ ㄓㄨˋ,yìzhù,False,
8945,8946,用兵,精熟,第6級,,8,0,"[['用兵', ['45092']]]",ㄩㄥˋ ㄅㄧㄥ,yòngbīng,False,
9044,9045,源源不絕,精熟,第6級,,5,7,"[['源源不絕', ['44818']]]",ㄩㄢˊ ㄩㄢˊ ㄅㄨˋ ㄐㄩㄝˊ,yuányuánbùjué,False,
9072,9073,在在,精熟,第6級,,8,4,"[['在在', ['37085']]]",ㄗㄞˋ ㄗㄞˋ,zàizài,False,
9076,9077,讚歎,精熟,第6級,,5,2,[],ㄗㄢˋ ㄊㄢˋ,zàntàn,False,
9228,9229,致勝,精熟,第6級,,6,1,"[['致勝', ['29278']]]",ㄓˋ ㄕㄥˋ,zhìshèng,False,
9239,9240,知性,精熟,第6級,,6,1,"[['知性', ['28958']]]",ㄓ ㄒㄧㄥˋ,zhīxìng,False,
9267,9268,重責大任,精熟,第6級,,3,1,"[['重責大任', ['31333']]]",ㄓㄨㄥˋ ㄗㄜˊ ㄉㄚˋ ㄖㄣˋ,zhòngzédàrèn,False,
9292,9293,助人,精熟,第6級,,12,10,"[['助人', ['30669']]]",ㄓㄨˋ ㄖㄣˊ,zhùrén,False,
9381,9382,自知,精熟,第6級,,11,1,[],ㄗˋ ㄓ,zìzhī,False,
9385,9386,縱,精熟,第6級,,19,3,"[['縱', ['37678', '37736']]]",ㄗㄨㄥ,zōng,True,
9439,9440,愛恨,精熟,第7級,,3,2,[],ㄞˋㄏㄣˋ,àihèn,False,
9443,9444,礙於,精熟,第7級,,4,3,[],ㄞˋ ㄩˊ,àiyú,False,
9492,9493,拔腿就跑,精熟,第7級,,2,0,"[['拔腿就跑', ['49']]]",ㄅㄚˊ ㄊㄨㄟˇ ㄐㄧㄡˋ ㄆㄠˇ,bátuǐjiùpǎo,False,
9501,9502,擺盪,精熟,第7級,,4,4,"[['擺盪', ['396']]]",ㄅㄞˇ ㄉㄤˋ,bǎidàng,False,
9514,9515,百態,精熟,第7級,,2,3,[],ㄅㄞˇ ㄊㄞˋ,bǎitài,False,
9534,9535,包覆,精熟,第7級,,4,5,"[['包覆', ['45197']]]",ㄅㄠ ㄈㄨˋ,bāofù,False,
9565,9566,悲情,精熟,第7級,,3,5,"[['悲情', ['519']]]",ㄅㄟ ㄑㄧㄥˊ,bēiqíng,False,
9571,9572,備感,精熟,第7級,,3,1,[],ㄅㄟˋㄍㄢˇ,bèigǎn,False,
9594,9595,閉口,精熟,第7級,,3,1,[],ㄅㄧˋㄎㄡˇ,bìkǒu,False,
9595,9596,畢露,精熟,第7級,,3,0,[],ㄅㄧˋ ㄌㄨˋ,bìlù,False,
9600,9601,閉目,精熟,第7級,,3,0,[],ㄅㄧˋ ㄇㄨˋ,bìmù,False,
9627,9628,遍野,精熟,第7級,,4,3,[],ㄅㄧㄢˋ ㄧㄝˇ,biànyě,False,
9719,9720,布條,精熟,第7級,,3,4,"[['布條', ['2351']]]",ㄅㄨˋ ㄊㄧㄠˊ,bùtiáo,False,
9747,9748,採收,精熟,第7級,,5,75,"[['採收', ['38004']]]",ㄘㄞˇ ㄕㄡ,cǎishōu,False,
9760,9761,參訪,精熟,第7級,,4,12,[],ㄘㄢ ㄈㄤˇ,cānfǎng,False,
9782,9783,草創,精熟,第7級,,3,3,"[['草創', ['38084']]]",ㄘㄠˇ ㄔㄨㄤˋ,cǎochuàng,False,
9811,9812,纏鬥,精熟,第7級,,3,1,"[['纏鬥', ['31947']]]",ㄔㄢˊ ㄉㄡˋ,chándòu,False,
9820,9821,摻雜,精熟,第7級,,4,1,"[['摻雜', ['31911']]]",ㄔㄢ ㄗㄚˊ,chānzá,False,
9823,9824,長程,精熟,第7級,,3,2,"[['長程', ['32145']]]",ㄔㄤˊ ㄔㄥˊ,chángchéng,False,
9833,9834,長篇大論,精熟,第7級,,3,1,"[['長篇大論', ['32105']]]",ㄔㄤˊ ㄆㄧㄢ ㄉㄚˋ ㄌㄨㄣˋ,chángpiāndàlùn,False,
9852,9853,朝政,精熟,第7級,,9,0,"[['朝政', ['31780']]]",ㄔㄠˊ ㄓㄥˋ,cháozhèng,False,
9854,9855,扯上,精熟,第7級,,4,1,[],ㄔㄜˇㄕㄤˋ,chěshàng,False,
9897,9898,稱奇,精熟,第7級,,2,0,[],ㄔㄥ ㄑㄧˊ,chēngqí,False,
9962,9963,愁容,精熟,第7級,,3,1,"[['愁容', ['31861']]]",ㄔㄡˊ ㄖㄨㄥˊ,chóuróng,False,
9969,9970,出關,精熟,第7級,,2,2,[],ㄔㄨ ㄍㄨㄢ,chūguān,False,
9999,10000,串連,精熟,第7級,,4,10,[],ㄔㄨㄢˋ ㄌㄧㄢˊ,chuànlián,False,
10028,10029,純然,精熟,第7級,,3,1,"[['純然', ['32928']]]",ㄔㄨㄣˊ ㄖㄢˊ,chúnrán,False,
10042,10043,辭彙,精熟,第7級,,4,0,"[['辭彙', ['37829']]]",ㄘˊ ㄏㄨㄟˋ,cíhuì,False,
10068,10069,粗聲粗氣,精熟,第7級,,1,0,[],ㄘㄨ ㄕㄥ ㄘㄨ ㄑㄧˋ,cūshēngcūqì,False,
10079,10080,存疑,精熟,第7級,,4,1,"[['存疑', ['38425']]]",ㄘㄨㄣˊ ㄧˊ,cúnyí,False,
10104,10105,大老,精熟,第7級,,4,1,"[['大老', ['7064']]]",ㄉㄚˋ ㄌㄠˇ,dàlǎo,False,
10116,10117,大手筆,精熟,第7級,,2,1,"[['大手筆', ['7313']]]",ㄉㄚˋ ㄕㄡˇ ㄅㄧˇ,dàshǒubǐ,False,
10123,10124,大相逕庭,精熟,第7級,,2,1,"[['大相逕庭', ['7229']]]",ㄉㄚˋ ㄒㄧㄤ ㄐㄧㄥˋ ㄊㄧㄥˊ,dàxiāngjìngtíng,False,
10150,10151,旦夕,精熟,第7級,,4,1,[],ㄉㄢˋ ㄒㄧˋ,dànxì,False,
10155,10156,當差,精熟,第7級,,3,0,"[['當差', ['8053']]]",ㄉㄤ ㄔㄞ,dāngchāi,False,
10161,10162,當頭棒喝,精熟,第7級,,2,1,"[['當頭棒喝', ['8029']]]",ㄉㄤ ㄊㄡˊ ㄅㄤˋ ㄏㄜˋ,dāngtóubànghè,False,
10166,10167,倒過來,精熟,第7級,,3,3,[],ㄉㄠˋ ㄍㄨㄛˋ ㄌㄞˊ,dàoguòlái,False,
10200,10201,敵不過,精熟,第7級,,2,1,[],ㄉㄧˊㄅㄨˊㄍㄨㄛˋ,díbúguò,False,
10275,10276,棟樑,精熟,第7級,,1,0,[],ㄉㄨㄥˋ ㄌㄧㄤˊ,dòngliáng,False,
10311,10312,獨門,精熟,第7級,,3,2,"[['獨門', ['9226']]]",ㄉㄨˊ ㄇㄣˊ,dúmén,False,
10317,10318,獨享,精熟,第7級,,2,1,"[['獨享', ['9254']]]",ㄉㄨˊ ㄒㄧㄤˇ,dúxiǎng,False,
10324,10325,端視,精熟,第7級,,3,0,[],ㄉㄨㄢ ㄕˋ,duānshì,False,
10350,10351,多難,精熟,第7級,,3,2,"[['多難', ['9382']]]",ㄉㄨㄛ ㄋㄢˋ,duōnàn,False,
10406,10407,泛黃,精熟,第7級,,2,2,[],ㄈㄢˋ ㄏㄨㄤˊ,fànhuáng,False,
10440,10441,非比尋常,精熟,第7級,,4,2,[],ㄈㄟ ㄅㄧˇ ㄒㄩㄣˊ ㄔㄤˊ,fēibǐxúncháng,False,
10470,10471,分工合作,精熟,第7級,,3,3,"[['分工合作', ['5735']]]",ㄈㄣ ㄍㄨㄥ ㄏㄜˊ ㄗㄨㄛˋ,fēngōnghézuò,False,
10473,10474,分際,精熟,第7級,,3,1,[],ㄈㄣˋ ㄐㄧˋ,fènjì,False,
10499,10500,豐功偉業,精熟,第7級,,2,1,"[['豐功偉業', ['6223']]]",ㄈㄥ ㄍㄨㄥ ㄨㄟˇ ㄧㄝˋ,fēnggōngwěiyè,False,
10547,10548,浮生,精熟,第7級,,3,1,"[['浮生', ['6377']]]",ㄈㄨˊ ㄕㄥ,fúshēng,False,
