,序號,詞語,等別,級別,情境,書面字頻(每百萬字),口語字頻(每百萬字),簡編本系統號,參考注音,參考漢語拼音,warning,definition
10571,10572,概略,精熟,第7級,,2,0,"[['概略', ['16032']]]",ㄍㄞˋ ㄌㄩㄝˋ,gàilüè,False,
10612,10613,高照,精熟,第7級,,3,2,[],ㄍㄠ ㄓㄠˋ,gāozhào,False,
10625,10626,擱下,精熟,第7級,,3,0,"[['擱下', ['15833']]]",ㄍㄜ ㄒㄧㄚˋ,gēxià,False,
10633,10634,根深柢固,精熟,第7級,,4,1,"[['根深柢固', ['16483']]]",ㄍㄣ ㄕㄣ ㄉㄧˇ ㄍㄨˋ,gēnshēndǐgù,False,
10634,10635,根植,精熟,第7級,,2,0,[],ㄍㄣ ㄓˊ,gēnzhí,False,
10642,10643,更形,精熟,第7級,,4,2,[],ㄍㄥˋ ㄒㄧㄥˊ,gèngxíng,False,
10663,10664,功勳,精熟,第7級,,4,0,[],ㄍㄨㄥ ㄒㄩㄣ,gōngxūn,False,
10668,10669,攻佔,精熟,第7級,,5,1,[],ㄍㄨㄥ ㄓㄢˋ,gōngzhàn,False,
10689,10690,孤軍,精熟,第7級,,6,8,"[['孤軍', ['16657']]]",ㄍㄨ ㄐㄩㄣ,gūjūn,False,
10690,10691,孤苦,精熟,第7級,,2,2,"[['孤苦', ['16652']]]",ㄍㄨ ㄎㄨˇ,gūkǔ,False,
10703,10704,鼓足,精熟,第7級,,2,1,[],ㄍㄨˇㄗㄨˊ,gǔzú,False,
10720,10721,關鍵點,精熟,第7級,,3,2,[],ㄍㄨㄢ ㄐㄧㄢˋㄉㄧㄢˇ,guānjiàndiǎn,False,
10735,10736,慣於,精熟,第7級,,3,0,[],ㄍㄨㄢˋ ㄩˊ,guànyú,False,
10736,10737,觀照,精熟,第7級,,6,2,"[['觀照', ['17396']]]",ㄍㄨㄢ ㄓㄠˋ,guānzhào,False,
10737,10738,觀眾席,精熟,第7級,,4,2,[],ㄍㄨㄢ ㄓㄨㄥˋㄒㄧˊ,guānzhòngxí,False,
10739,10740,光采,精熟,第7級,,3,1,[],ㄍㄨㄤ ㄘㄞˇ,guāngcǎi,False,
10764,10765,圭臬,精熟,第7級,,2,1,[],ㄍㄨㄟ ㄋㄧㄝˋ,guīniè,False,
10782,10783,過路財神,精熟,第7級,,0,0,"[['過路財神', ['17103']]]",ㄍㄨㄛˋ ㄌㄨˋ ㄘㄞˊ ㄕㄣˊ,guòlùcáishén,False,
10810,10811,寒顫,精熟,第7級,,3,1,"[['寒顫', ['19671']]]",ㄏㄢˊ ㄓㄢˋ,hánzhàn,False,
10862,10863,黑漆漆,精熟,第7級,,2,3,"[['黑漆漆', ['19353']]]",ㄏㄟ ㄑㄧ ㄑㄧ,hēiqīqī,False,
10877,10878,轟隆隆,精熟,第7級,,3,1,[],ㄏㄨㄥ ㄌㄨㄥˊㄌㄨㄥˊ,hōnglónglóng,False,
10890,10891,後患,精熟,第7級,,3,1,"[['後患', ['19578']]]",ㄏㄡˋ ㄏㄨㄢˋ,hòuhuàn,False,
10990,10991,毀於一旦,精熟,第7級,,0,0,"[['毀於一旦', ['20606']]]",ㄏㄨㄟˇ ㄩˊ ㄧ ㄉㄢˋ,huǐyúyīdàn,False,
10992,10993,迴路,精熟,第7級,,15,4,[],ㄏㄨㄟˊㄌㄨˋ,huílù,False,
11022,11023,獲益良多,精熟,第7級,,0,0,[],ㄏㄨㄛˋ ㄧˋ ㄌㄧㄤˊ ㄉㄨㄛ,huòyìliángduō,False,
11027,11028,集大成,精熟,第7級,,2,1,[],ㄐㄧˊ ㄉㄚˋ ㄔㄥˊ,jídàchéng,False,
11032,11033,嫉惡如仇,精熟,第7級,,1,0,"[['嫉惡如仇', ['21468']]]",ㄐㄧˊ ㄜˋ ㄖㄨˊ ㄔㄡˊ,jíèrúchóu,False,
11045,11046,擊垮,精熟,第7級,,3,1,[],ㄐㄧˊ ㄎㄨㄚˇ,jíkuǎ,False,
11055,11056,擊破,精熟,第7級,,4,1,"[['擊破', ['21509']]]",ㄐㄧˊ ㄆㄛˋ,jípò,False,
11056,11057,記取,精熟,第7級,,3,4,"[['記取', ['21606']]]",ㄐㄧˋ ㄑㄩˇ,jìqǔ,False,
11107,11108,家務事,精熟,第7級,,4,1,[],ㄐㄧㄚ ㄨˋ ㄕˋ,jiāwùshì,False,
11136,11137,健將,精熟,第7級,,3,1,"[['健將', ['23040']]]",ㄐㄧㄢˋ ㄐㄧㄤˋ,jiànjiàng,False,
11139,11140,艱鉅,精熟,第7級,,4,4,"[['艱鉅', ['22858']]]",ㄐㄧㄢ ㄐㄩˋ,jiānjù,False,
11149,11150,艱澀,精熟,第7級,,3,1,"[['艱澀', ['22862']]]",ㄐㄧㄢ ㄙㄜˋ,jiānsè,False,
11163,11164,健在,精熟,第7級,,3,2,"[['健在', ['23046']]]",ㄐㄧㄢˋ ㄗㄞˋ,jiànzài,False,
11180,11181,交疊,精熟,第7級,,4,1,[],ㄐㄧㄠ ㄉㄧㄝˊ,jiāodié,False,
11207,11208,叫座,精熟,第7級,,3,0,"[['叫座', ['22513']]]",ㄐㄧㄠˋ ㄗㄨㄛˋ,jiàozuò,False,
11219,11220,藉故,精熟,第7級,,2,1,"[['藉故', ['22280']]]",ㄐㄧㄝˋ ㄍㄨˋ,jiègù,False,
11244,11245,街友,精熟,第7級,,1,3,[],ㄐㄧㄝ ㄧㄡˇ,jiēyǒu,False,
11250,11251,接踵而至,精熟,第7級,,2,1,[],ㄐㄧㄝ ㄓㄨㄥˇ ㄦˊ ㄓˋ,jiēzhǒngérzhì,False,
11252,11253,藉助,精熟,第7級,,4,3,"[['藉助', ['22283']]]",ㄐㄧㄝˋ ㄓㄨˋ,jièzhù,False,
11266,11267,金光閃閃,精熟,第7級,,0,0,[],ㄐㄧㄣ ㄍㄨㄤ ㄕㄢˇ ㄕㄢˇ,jīnguāngshǎnshǎn,False,
11275,11276,筋疲力竭,精熟,第7級,,5,1,"[['筋疲力竭', ['23217']]]",ㄐㄧㄣ ㄆㄧˊ ㄌㄧˋ ㄐㄧㄝˊ,jīnpílìjié,False,
11277,11278,盡其所能,精熟,第7級,,2,1,[],ㄐㄧㄣˋ ㄑㄧˊ ㄙㄨㄛˇ ㄋㄥˊ,jìnqísuǒnéng,False,
11283,11284,盡失,精熟,第7級,,4,1,[],ㄐㄧㄣˋ ㄕ,jìnshī,False,
11288,11289,浸淫,精熟,第7級,,4,1,"[['浸淫', ['23314']]]",ㄐㄧㄣˋ ㄧㄣˊ,jìnyín,False,
11289,11290,金銀財寶,精熟,第7級,,4,1,[],ㄐㄧㄣ ㄧㄣˊㄘㄞˊ ㄅㄠˇ,jīnyíncáibǎo,False,
11292,11293,緊張兮兮,精熟,第7級,,2,1,[],ㄐㄧㄣˇ ㄓㄤ ㄒㄧ ㄒㄧ,jǐnzhāngxīxī,False,
11294,11295,緊追不捨,精熟,第7級,,2,0,"[['緊追不捨', ['23261']]]",ㄐㄧㄣˇ ㄓㄨㄟ ㄅㄨˋ ㄕㄜˇ,jǐnzhuībùshě,False,
11332,11333,井水,精熟,第7級,,3,1,[],ㄐㄧㄥˇ ㄕㄨㄟˇ,jǐngshuǐ,False,
11338,11339,驚豔,精熟,第7級,,3,4,"[['驚豔', ['45214']]]",ㄐㄧㄥ ㄧㄢˋ,jīngyàn,False,
11384,11385,局外人,精熟,第7級,,4,1,"[['局外人', ['23894']]]",ㄐㄩˊ ㄨㄞˋ ㄖㄣˊ,júwàirén,False,
11386,11387,鉅細靡遺,精熟,第7級,,4,2,"[['鉅細靡遺', ['23997']]]",ㄐㄩˋ ㄒㄧˋ ㄇㄧˇ ㄧˊ,jùxìmǐyí,False,
11402,11403,決然,精熟,第7級,,3,5,"[['決然', ['24102']]]",ㄐㄩㄝˊ ㄖㄢˊ,juérán,False,
11403,11404,絕少,精熟,第7級,,2,1,[],ㄐㄩㄝˊ ㄕㄠˇ,juéshǎo,False,
11420,11421,據以,精熟,第7級,,3,0,[],ㄐㄩˋㄧˇ,jùyǐ,False,
11432,11433,慨然,精熟,第7級,,2,0,"[['慨然', ['18236']]]",ㄎㄞˇ ㄖㄢˊ,kǎirán,False,
11452,11453,克敵,精熟,第7級,,3,1,"[['克敵', ['18030']]]",ㄎㄜˋ ㄉㄧˊ,kèdí,False,
11469,11470,空檔,精熟,第7級,,9,8,"[['空檔', ['18909', '18977']]]",ㄎㄨㄥˋ ㄉㄤˇ,kòngdǎng,True,
11492,11493,苦讀,精熟,第7級,,4,3,[],ㄎㄨˇ ㄉㄨˊ,kǔdú,False,
11495,11496,枯黃,精熟,第7級,,2,3,[],ㄎㄨ ㄏㄨㄤˊ,kūhuáng,False,
11512,11513,誇讚,精熟,第7級,,4,1,"[['誇讚', ['18636']]]",ㄎㄨㄚ ㄗㄢˋ,kuāzàn,False,
11531,11532,綑綁,精熟,第7級,,3,3,"[['綑綁', ['18824']]]",ㄎㄨㄣˇ ㄅㄤˇ,kǔnbǎng,False,
11534,11535,困難重重,精熟,第7級,,2,3,[],ㄎㄨㄣˋ ㄋㄢˊㄔㄨㄥˊ ㄔㄨㄥˊ,kùnnánchóngchóng,False,
11539,11540,來來往往,精熟,第7級,,2,2,"[['來來往往', ['13278']]]",ㄌㄞˊ ㄌㄞˊ ㄨㄤˇ ㄨㄤˇ,láiláiwǎngwǎng,False,
11542,11543,來勢洶洶,精熟,第7級,,2,3,[],ㄌㄞˊ ㄕˋ ㄒㄩㄥ ㄒㄩㄥ,láishìxiōngxiōng,False,
11557,11558,牢不可破,精熟,第7級,,2,0,"[['牢不可破', ['13425']]]",ㄌㄠˊ ㄅㄨˋ ㄎㄜˇ ㄆㄛˋ,láobùkěpò,False,
11596,11597,歷久不衰,精熟,第7級,,3,1,"[['歷久不衰', ['14260']]]",ㄌㄧˋ ㄐㄧㄡˇ ㄅㄨˋ ㄕㄨㄞ,lìjiǔbùshuāi,False,
11610,11611,立意,精熟,第7級,,3,3,"[['立意', ['14166']]]",ㄌㄧˋ ㄧˋ,lìyì,False,
11612,11613,立於,精熟,第7級,,4,0,[],ㄌㄧˋ ㄩˊ,lìyú,False,
11621,11622,連根拔起,精熟,第7級,,0,0,"[['連根拔起', ['14636']]]",ㄌㄧㄢˊ ㄍㄣ ㄅㄚˊ ㄑㄧˇ,liángēnbáqǐ,False,
11640,11641,兩頰,精熟,第7級,,3,1,"[['兩頰', ['15010']]]",ㄌㄧㄤˇ ㄐㄧㄚˊ,liǎngjiá,False,
11682,11683,凜然,精熟,第7級,,3,1,"[['凜然', ['14922']]]",ㄌㄧㄣˇ ㄖㄢˊ,lǐnrán,False,
11685,11686,領兵,精熟,第7級,,6,0,[],ㄌㄧㄥˇ ㄅㄧㄥ,lǐngbīng,False,
11772,11773,邁開,精熟,第7級,,3,1,[],ㄇㄞˋ ㄎㄞ,màikāi,False,
11790,11791,莽夫,精熟,第7級,,2,0,[],ㄇㄤˇ ㄈㄨ,mǎngfū,False,
11799,11800,卯足,精熟,第7級,,2,2,[],ㄇㄠˇ ㄗㄨˊ,mǎozú,False,
11811,11812,門縫,精熟,第7級,,4,1,"[['門縫', ['4235']]]",ㄇㄣˊ ㄈㄥˋ,ménfèng,False,
11814,11815,悶氣,精熟,第7級,,3,2,"[['悶氣', ['4272', '4225']]]",ㄇㄣˋ ㄑㄧˋ,mènqì,False,
11875,11876,明快,精熟,第7級,,3,1,"[['明快', ['4889']]]",ㄇㄧㄥˊ ㄎㄨㄞˋ,míngkuài,False,
11888,11889,明說,精熟,第7級,,3,0,[],ㄇㄧㄥˊ ㄕㄨㄛ,míngshuō,False,
11898,11899,莫測,精熟,第7級,,3,1,[],ㄇㄛˋ ㄘㄜˋ,mòcè,False,
11926,11927,母性,精熟,第7級,,3,1,"[['母性', ['4971']]]",ㄇㄨˇ ㄒㄧㄥˋ,mǔxìng,False,
11944,11945,難言,精熟,第7級,,2,1,[],ㄋㄢˊ ㄧㄢˊ,nányán,False,
11996,11997,偶發,精熟,第7級,,4,1,"[['偶發', ['39663']]]",ㄡˇ ㄈㄚ,ǒufā,False,
12042,12043,蓬頭,精熟,第7級,,3,3,[],ㄆㄥˊ ㄊㄡˊ,péngtóu,False,
12073,12074,飄蕩,精熟,第7級,,3,1,"[['飄蕩', ['3090']]]",ㄆㄧㄠ ㄉㄤˋ,piāodàng,False,
12102,12103,平衡點,精熟,第7級,,3,7,[],ㄆㄧㄥˊ ㄏㄥˊ ㄉㄧㄢˇ,pínghéngdiǎn,False,
12104,12105,評鑑,精熟,第7級,,12,9,"[['評鑑', ['3383']]]",ㄆㄧㄥˊ ㄐㄧㄢˋ,píngjiàn,False,
12112,12113,平心靜氣,精熟,第7級,,3,1,"[['平心靜氣', ['3331']]]",ㄆㄧㄥˊ ㄒㄧㄣ ㄐㄧㄥˋ ㄑㄧˋ,píngxīnjìngqì,False,
12119,12120,頗負盛名,精熟,第7級,,0,0,[],ㄆㄛˇㄈㄨˋㄕㄥˋ ㄇㄧㄥˊ,pǒfùshèngmíng,False,
12128,12129,剖開,精熟,第7級,,3,2,"[['剖開', ['2738']]]",ㄆㄡˇ ㄎㄞ,pǒukāi,False,
12142,12143,淒慘,精熟,第7級,,4,1,"[['淒慘', ['24384']]]",ㄑㄧ ㄘㄢˇ,qīcǎn,False,
12177,12178,起舞,精熟,第7級,,7,0,[],ㄑㄧˇ ㄨˇ,qǐwǔ,False,
12183,12184,起疑,精熟,第7級,,4,0,"[['起疑', ['24611']]]",ㄑㄧˇ ㄧˊ,qǐyí,False,
12232,12233,前座,精熟,第7級,,3,1,[],ㄑㄧㄢˊ ㄗㄨㄛˋ,qiánzuò,False,
12235,12236,強固,精熟,第7級,,3,0,[],ㄑㄧㄤˊ ㄍㄨˋ,qiánggù,False,
12253,12254,巧遇,精熟,第7級,,3,3,"[['巧遇', ['24924']]]",ㄑㄧㄠˇ ㄩˋ,qiǎoyù,False,
12279,12280,勤於,精熟,第7級,,3,2,[],ㄑㄧㄣˊ ㄩˊ,qínyú,False,
12291,12292,輕忽,精熟,第7級,,5,4,"[['輕忽', ['25687']]]",ㄑㄧㄥ ㄏㄨ,qīnghū,False,
12304,12305,傾身,精熟,第7級,,3,0,[],ㄑㄧㄥ ㄕㄣ,qīngshēn,False,
12319,12320,請益,精熟,第7級,,2,1,"[['請益', ['25821']]]",ㄑㄧㄥˇ ㄧˋ,qǐngyì,False,
12333,12334,求診,精熟,第7級,,3,4,"[['求診', ['25007']]]",ㄑㄧㄡˊ ㄓㄣˇ,qiúzhěn,False,
12343,12344,屈膝,精熟,第7級,,3,0,"[['屈膝', ['25858']]]",ㄑㄩ ㄒㄧ,qūxī,False,
12368,12369,趨前,精熟,第7級,,3,0,[],ㄑㄩㄑㄧㄢˊ,qūqián,False,
12381,12382,人本,精熟,第7級,,5,2,[],ㄖㄣˊ ㄅㄣˇ,rénběn,False,
12383,12384,人和,精熟,第7級,,4,2,"[['人和', ['36100']]]",ㄖㄣˊ ㄏㄜˊ,rénhé,False,
12384,12385,人跡,精熟,第7級,,3,1,"[['人跡', ['36104']]]",ㄖㄣˊ ㄐㄧ,rénjī,False,
12385,12386,人來人往,精熟,第7級,,2,1,[],ㄖㄣˊ ㄌㄞˊ ㄖㄣˊ ㄨㄤˇ,rénláirénwǎng,False,
12386,12387,人面,精熟,第7級,,3,6,[],ㄖㄣˊ ㄇㄧㄢˋ,rénmiàn,False,
12400,12401,日曬,精熟,第7級,,3,9,[],ㄖˋ ㄕㄞˋ,rìshài,False,
12417,12418,如常,精熟,第7級,,3,1,"[['如常', ['36342']]]",ㄖㄨˊ ㄔㄤˊ,rúcháng,False,
12445,12446,三思,精熟,第7級,,4,1,"[['三思', ['38912']]]",ㄙㄢ ㄙ,sānsī,False,
12466,12467,殺身,精熟,第7級,,4,1,"[['殺身', ['33849']]]",ㄕㄚ ㄕㄣ,shāshēn,False,
12482,12483,擅於,精熟,第7級,,4,1,[],ㄕㄢˋ ㄩˊ,shànyú,False,
12487,12488,上策,精熟,第7級,,3,1,"[['上策', ['34947']]]",ㄕㄤˋ ㄘㄜˋ,shàngcè,False,
12495,12496,上昇,精熟,第7級,,4,1,[],ㄕㄤˋ ㄕㄥ,shàngshēng,False,
12507,12508,燒毀,精熟,第7級,,7,6,"[['燒毀', ['34038']]]",ㄕㄠ ㄏㄨㄟˇ,shāohuǐ,False,
12510,12511,稍作,精熟,第7級,,2,1,[],ㄕㄠ ㄗㄨㄛˋ,shāozuò,False,
12518,12519,涉水,精熟,第7級,,4,6,[],ㄕㄜˋ ㄕㄨㄟˇ,shèshuǐ,False,
12521,12522,設限,精熟,第7級,,3,3,"[['設限', ['33986']]]",ㄕㄜˋ ㄒㄧㄢˋ,shèxiàn,False,
12534,12535,深覺,精熟,第7級,,2,1,[],ㄕㄣ ㄐㄩㄝˊ,shēnjué,False,
12536,12537,神迷,精熟,第7級,,3,0,[],ㄕㄣˊ ㄇㄧˊ,shénmí,False,
12542,12543,身受,精熟,第7級,,3,2,"[['身受', ['34621']]]",ㄕㄣ ㄕㄡˋ,shēnshòu,False,
12546,12547,深鎖,精熟,第7級,,3,2,[],ㄕㄣ ㄙㄨㄛˇ,shēnsuǒ,False,
12558,12559,神遊,精熟,第7級,,2,0,"[['神遊', ['34740']]]",ㄕㄣˊ ㄧㄡˊ,shényóu,False,
12566,12567,深植,精熟,第7級,,4,3,[],ㄕㄣ ㄓˊ,shēnzhí,False,
12576,12577,昇華,精熟,第7級,,6,3,"[['昇華', ['35002']]]",ㄕㄥ ㄏㄨㄚˊ,shēnghuá,False,
12591,12592,聲色,精熟,第7級,,5,4,"[['聲色', ['35145']]]",ㄕㄥ ㄙㄜˋ,shēngsè,False,
12609,12610,身居,精熟,第7級,,3,0,[],ㄕㄣㄐㄩ,shēnjū,False,
